6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
655 | VERIFIED_VERBATIM |  | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: background and history in a key | Justin Alexander, 'The Art of the Key - Part 2', The Alexandrian, 2014 | Q=It should be brief, to the point, and infrequently needed. | TW=It should be brief, to the point, and infrequently needed | CLAIM=Justin Alexander confines a location's history and former use to a GM Background tag that must be brief and infrequently needed. | NOTE=Section 'GM BACKGROUND TAG': 'The tag is particularly useful for information of the “this is what this ruined room used to be” and “this is what the NPCs use this room for” variety' and the caution 'I
656 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: reference layout | Justin Alexander, 'The Art of the Key - Part 3', The Alexandrian, 2016 | Q=Everything you need is on the page. | TW=the delve format does have one really good idea: Everything you need is on the page | CLAIM=Justin Alexander credits the delve format with the single good idea that everything the GM needs is on the page. | NOTE=Opening of Part 3: 'I’ve previously dismissed the dogmatization of the old delve adventure format... But the delve format does have one really good idea: Everything you need is on the page.' The GM-fa
657 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | boxed text form | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=will virtually guarantee that it’s not accidentally omitted | TW=putting it in boxed text will virtually guarantee that it’s not accidentally omitted in actual play | CLAIM=Justin Alexander grants that boxed text virtually guarantees essential information is not accidentally omitted in play. | NOTE=Advantages paragraph: 'If there’s essential information that needs to be conveyed to the players, putting it in boxed text will virtually guarantee that it’s not accidentally omitted in actual play.' 
658 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | boxed text form | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=The result is inherently less flexible. | TW=The result is inherently less flexible... the boxed text needs to be generic enough to work for any potential entrance | CLAIM=Justin Alexander counts inflexibility as an inherent cost of prewritten boxed text, since one passage must serve every approach and condition. | NOTE=Under 'So why wouldn’t you use boxed text?': 'The result is inherently less flexible. (For example, if a room has multiple entries the boxed text needs to be generic enough to work for any potential e
659 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: reaction point | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=PCs are frozen in place while a bunch of stuff happens | TW=Freeze-frame boxed text is when the GM starts reading and then the PCs are frozen in place while a bunch of stuff happens | CLAIM=Justin Alexander names freeze-frame boxed text as the failure in which the world keeps moving while the characters stand frozen. | NOTE=Section 'SINS OF THE BOX', first paragraph of the freeze-frame discussion; the Radiant Citadel example follows, with 'everyone else in the scene – including the ox! – gets to react before they do.' Qu
660 | VERIFIED_VERBATIM |  | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: reaction point | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=What we’ve identified here is the reaction point | TW=What we’ve identified here is the reaction point | CLAIM=Justin Alexander names the reaction point as the place in a description past which the world must not move without the players. | NOTE=Section 'SINS OF THE BOX': 'What we’ve identified here is the reaction point. ... what you should avoid at all costs is having the game world continue to move forward past the reaction point without l
661 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | point of view and distance | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=declaring the thoughts or feelings or (worse yet!) actions of the PCs | TW=insidiously goes one step further by declaring the thoughts or feelings or (worse yet!) actions of the PCs | CLAIM=Justin Alexander condemns remote-control boxed text, which declares the thoughts, feelings or actions of the player characters. | NOTE=Section 'REMOTE-CONTROL BOXED TEXT': 'Remote-control boxed text suffers from similar problems (preventing the players from participating), but insidiously goes one step further by declaring the though
662 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | point of view and distance | Justin Alexander, 'GM Don't List #13: Boxed Text Pitfalls', The Alexandrian, 2022 | Q=Don’t tell them how they’re reacting to it. | TW=Focus on showing the players the scene and letting them react to it. Don’t tell them how they’re reacting to it. | CLAIM=Justin Alexander's rule for read-aloud text is to show the scene and never to tell the players how they are reacting to it. | NOTE=Section 'REMOTE-CONTROL BOXED TEXT', closing rule. Quote verbatim including the final period; the show-the-scene limb is the immediately preceding sentence. The article's subject throughout is boxed t
663 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | boxed text form | Reader comment by 'mellonbread', 2 August 2022, on The Alexandrian | Q=should never be longer than three sentences | TW=should never be longer than three sentences, because after that point the players stop paying attention | CLAIM=A reader commenting on the Alexandrian recalls a lost Wizards devblog article whose thesis was that GM description should never run past three sentences. | NOTE=Comment #1976289, cited author 'mellonbread', timestamped 'August 2nd, 2022 - 11:58 am': 'There was a lovely article in the old Wizards devblog, from around the 3.5 or 4e days, which was lost when the
664 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | boxed text form | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=In 1979, Hidden Shrine of Tamoachan introduced boxed text descriptions | TW= | CLAIM=David Hartlage dates the introduction of boxed text descriptions read by the DM on entry to Hidden Shrine of Tamoachan in 1979. | NOTE=Raw dmdavid.com tag page (curl, browser UA, HTTP 200) carries the whole 15 Nov 2012 post by David Hartlage. Sentence appears in full: 'In 1979, Hidden Shrine of Tamoachan introduced boxed text descrip
665 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | boxed text form | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=a consistent play experience in a competitive environment | TW= | CLAIM=David Hartlage attributes the original purpose of boxed text to giving every table the same play experience in tournament competition. | NOTE=Verbatim: 'The boxed text provided a way to offer a consistent play experience in a competitive environment.' Tournament limb supported by the preceding sentence (Origins '79 Official AD&D tournament)
666 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | omission as information | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=the text mentioned the runes alongside other, less important details | TW= | CLAIM=David Hartlage reports that in a tournament the significant detail was placed among less important ones in the boxed text and his team missed it. | NOTE=Verbatim: 'Like any good boxed text description, the text mentioned the runes alongside other, less important details.' Tournament limb = 2012 GEN CON D&D Championship final; missed limb = 'No one on 
667 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | other: read-aloud delivery | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=their voice takes a different tone and cadence | TW= | CLAIM=David Hartlage says a reader's voice takes a different tone and cadence from extemporaneous speech, and that monotony lets players' attention wander. | NOTE=Verbatim in the full sentence: 'When most speakers read something aloud, their voice takes a different tone and cadence than when they speak extemporaneously, and that monotony can cause players' atte
668 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | boxed text form | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=No one has shown a better way to summarize | TW= | CLAIM=David Hartlage defends boxed text as still the best available summary of what players must learn on entering a room. | NOTE=Verbatim: 'No one has shown a better way to summarize what the players must learn when they enter a room.' Preceded by 'Still, even for DMs who never read boxed text, it helps', which supports the 'de
669 | VERIFIED_VERBATIM |  | usability-school | dmdavid.com | verdicts-dnd-i664-678.json | other: read-aloud delivery | David Hartlage, 'Picturing the dungeon - boxed text', DMDavid, 2012 | Q=I paraphrase boxed text | TW= | CLAIM=David Hartlage says that when he knows the material well he paraphrases the boxed text rather than reading it. | NOTE=Verbatim inside 'For this reason, when I know the content well enough, I paraphrase boxed text.' Knowledge-conditional limb supported by 'when I know the content well enough'.
670 | VERIFIED_VERBATIM |  | usability-school | web.archive.org | verdicts-dnd-i664-678.json | boxed text form | David Noonan (with Jesse Decker), 'Undercover at Gen Con, Part 1', Wizards of the Coast De | Q=If you’re the DM, you get two sentences. Period. | TW= | CLAIM=David Noonan reports that from watching Gen Con 2005 tables a DM reading aloud holds attention for two sentences. | NOTE=Wayback capture 20161031220137 of archive.wizards.com fetched raw (HTTP 200). Verbatim: 'If you're the DM, you get two sentences. Period. Beyond that, your players are stacking dice, talking to each o
671 | VERIFIED_VERBATIM |  | usability-school | web.archive.org | verdicts-dnd-i664-678.json | boxed text form | David Noonan (with Jesse Decker), 'Undercover at Gen Con, Part 1', Wizards of the Coast De | Q=this kind of “research” is pretty qualitative | TW= | CLAIM=The same Wizards article labels its own Gen Con observation qualitative rather than a controlled measurement. | NOTE=Verbatim: 'this kind of "research" is pretty qualitative, which is science-speak for "quite possibly bogus."' The 'not a controlled measurement' limb is supported by the next sentence: 'The "Dave wand
